t,intr_x,intr_y,intr_z,def0_x,def0_y,def0_z,def1_x,def1_y,def1_z,event
5.800000000000001,-575.135009765625,-4.143297704928273e-09,-253.30421447753906,-18.10540771484375,-4.5176591873168945,-3.0096917152404785,-18.185382843017578,4.316568851470947,-2.96976375579834,
5.9,-595.1806030273438,-4.338950088111915e-09,-262.2472839355469,-18.459335327148438,-4.517163276672363,-3.0093579292297363,-18.539310455322266,4.313385009765625,-2.9694299697875977,
6.0,-594.6492309570312,-4.499937311663871e-09,-261.52099609375,-18.839807510375977,-4.516635417938232,-3.0089988708496094,-18.919782638549805,4.31002950668335,-2.9690709114074707,
6.1000000000000005,-614.6875610351562,-4.640842821146407e-09,-270.4645690917969,-19.184886932373047,-4.516170978546143,-3.008673667907715,-19.264862060546875,4.3070454597473145,-2.968745708465576,
6.2,-614.1636352539062,-4.755166038705738e-09,-269.7576904296875,-19.565359115600586,-4.515658378601074,-3.008314847946167,-19.645334243774414,4.3038177490234375,-2.9683868885040283,
6.300000000000001,-634.2366943359375,-4.862945157668719e-09,-278.75811767578125,-19.90159034729004,-4.515218257904053,-3.0079972743988037,-20.025806427001953,4.30065393447876,-2.9680278301239014,
6.4,-644.0211181640625,-4.958033983371024e-09,-282.92388916015625,-20.264366149902344,-4.514749050140381,-3.007655620574951,-20.344341278076172,4.298051834106445,-2.9677276611328125,
6.5,-643.4749755859375,-5.044060280567919e-09,-282.19940185546875,-20.6536865234375,-4.514245510101318,-3.0072882175445557,-20.733661651611328,4.294928550720215,-2.967360258102417,
6.6000000000000005,-653.1837768554688,-5.116846502062344e-09,-286.27288818359375,-21.034156799316406,-4.513771057128906,-3.0069291591644287,-21.114131927490234,4.291935443878174,-2.96700119972229,
6.7,-673.3302001953125,-5.152561488586116e-09,-295.3861999511719,-21.361541748046875,-4.513365268707275,-3.006620407104492,-21.485755920410156,4.289064407348633,-2.96665096282959,
6.800000000000001,-672.7754516601562,-5.170078143379442e-09,-294.66253662109375,-21.75086212158203,-4.512882709503174,-3.006253480911255,-21.83083724975586,4.286441326141357,-2.966325521469116,
6.9,-692.846923828125,-5.156557403296347e-09,-303.68328857421875,-22.13133430480957,-4.512423515319824,-3.005894660949707,-22.211307525634766,4.283596992492676,-2.9659667015075684,
7.0,-702.6304321289062,-5.1107003073980195e-09,-307.8695373535156,-22.494110107421875,-4.511993408203125,-3.005552291870117,-22.57408332824707,4.28093147277832,-2.9656243324279785,
7.1000000000000005,-702.05419921875,-5.017152027164684e-09,-307.12823486328125,-22.84803581237793,-4.511573791503906,-3.005218982696533,-22.92801284790039,4.278372764587402,-2.9652910232543945,
7.2,-711.7755126953125,-4.881085757801884e-09,-311.2406005859375,-23.210811614990234,-4.511143684387207,-3.0048766136169434,-23.290788650512695,4.275792121887207,-2.964949369430542,
7.300000000000001,-731.7807006835938,-4.695758448747256e-09,-320.18817138671875,-23.564741134643555,-4.5107421875,-3.004542827606201,-23.644716262817383,4.273313045501709,-2.9646148681640625,
7.4,-741.5421142578125,-4.485689153455041e-09,-324.3568420410156,-23.918668746948242,-4.510341644287109,-3.004209518432617,-24.051733016967773,4.270506381988525,-2.964231491088867,
7.5,-751.3016357421875,-4.234197437114062e-09,-328.52581787109375,-24.290292739868164,-4.509921073913574,-3.003859281539917,-24.370267868041992,4.268342971801758,-2.9639313220977783,
7.6000000000000005,-761.0592651367188,-3.940089587928242e-09,-332.6949157714844,-24.65306854248047,-4.509510517120361,-3.00351619720459,-24.777284622192383,4.265621662139893,-2.9635467529296875,
7.7,-760.485595703125,-3.585240326842154e-09,-331.9736633300781,-25.042387008666992,-4.509085655212402,-3.0031492710113525,-25.12236213684082,4.263350963592529,-2.963221311569214,
7.800000000000001,-780.5391845703125,-3.208098897644618e-09,-340.9966735839844,-25.387468338012695,-4.508713722229004,-3.002824068069458,-25.51168441772461,4.260828018188477,-2.9628546237945557,
7.9,-790.2919921875,-2.7889481835075003e-09,-345.1664123535156,-25.759090423583984,-4.508313179016113,-3.0024735927581787,-25.88330841064453,4.258455276489258,-2.9625041484832764,
8.0,-800.057861328125,-2.341996596655349e-09,-349.3548278808594,-26.12186622619629,-4.507922172546387,-3.002131223678589,-26.246084213256836,4.256173610687256,-2.9621617794036865,
8.1,-809.7770385742188,-1.8165356996391324e-09,-353.4879150390625,-26.49349021911621,-4.507523059844971,-3.0017809867858887,-26.57346534729004,4.2541399002075195,-2.961857318878174,
